text,label
今天早餐吃的什么？,0
中午打算吃外卖还是出去吃？,0
最近有没有发现好吃的餐厅？,0
你喜欢吃甜的还是咸的？,0
要不要一起点杯奶茶？,0
晚上吃火锅还是烤肉？,0
这家咖啡店的新品你试过吗？,0
你觉得这家的菜味道怎么样？,0
明天早上有时间一起吃早餐吗？,0
你知道附近哪里有卖水果的吗？,0
周末准备怎么过？,0
有没有好看的电影推荐？,0
你最近在追什么剧？,0
平时喜欢听什么类型的音乐？,0
要不要一起去看演唱会？,0
你觉得这款游戏好玩吗？,0
周末有没有兴趣去爬山？,0
你喜欢去海边还是山里？,0
最近有没有去哪里旅游？,0
你觉得哪个城市最值得去旅游？,0
下班之后一般做什么？,0
工作上最近有没有遇到什么难题？,0
你觉得这份工作发展前景怎么样？,0
最近加班多吗？,0
明天的会议你准备好了吗？,0
这个项目大概什么时候能完成？,0
你觉得我们的方案还需要修改吗？,0
公司新规定你知道了吗？,0
领导交代的任务你完成得怎么样了？,0
你打算什么时候换工作？,0
今天作业多不多？,0
这道题你会做吗？,0
明天的考试复习得怎么样了？,0
你觉得哪个老师讲课最好？,0
学校最近有什么活动吗？,0
社团的事你还继续参加吗？,0
你打算考研还是直接工作？,0
毕业论文开始写了吗？,0
学习上有没有什么好的方法？,0
你觉得这个专业就业前景如何？,0
你家宠物多大了？,0
你家宠物叫什么名字？,0
平时怎么给宠物喂食？,0
你家宠物会什么技能？,0
宠物生病了怎么办？,0
你给宠物打疫苗了吗？,0
宠物的用品一般在哪里买？,0
宠物掉毛严重吗？怎么处理？,0
带宠物出去散步要注意什么？,0
你家宠物喜欢玩什么玩具？,0
这件衣服好看吗？,0
你觉得我穿这个颜色合适吗？,0
这条裤子会不会太短了？,0
新买的鞋子好穿吗？,0
你一般在哪里买衣服？,0
最近流行的款式是什么样的？,0
这件外套价格划算吗？,0
你觉得这件衣服搭配什么裤子好？,0
夏天你喜欢穿裙子还是短裤？,0
冬天的羽绒服怎么选保暖？,0
你会做饭吗？,0
最拿手的菜是什么？,0
做饭的时候有没有什么小窍门？,0
买菜一般去哪里买？,0
你觉得煲汤要煲多久才好喝？,0
炒菜用什么油比较健康？,0
不会做饭的话，怎么快速学会？,0
你平时做饭会放多少调料？,0
有没有什么简单又好吃的菜谱推荐？,0
做完饭怎么收拾厨房最省力？,0
你家空调开多少度？,0
家里的水电费贵吗？,0
最近家里有没有什么需要维修的？,0
